CCTV,#genre#
CCTV-16,http://ott.mobaibox.com/PLTV/3/224/3221228314/index.m3u8
CCTV-16,http://ott.mobaibox.com/PLTV/3/224/3221228168/index.m3u8
CCTV-16,http://ott.mobaibox.com/PLTV/3/224/3221228127/index.m3u8
CCTV-01,http://ott.mobaibox.com/PLTV/3/224/3221227715/index.m3u8
CCTV-4K,http://ott.mobaibox.com/PLTV/3/224/3221228228/index.m3u8
CCTV-4KUHD,http://ott.mobaibox.com/PLTV/3/224/3221227506/index.m3u8
CCTV-4K,http://ott.mobaibox.com/PLTV/3/224/3221228472/index.m3u8
CCTV-4KUHD,http://ott.mobaibox.com/PLTV/3/224/3221228242/index.m3u8
CCTV-8K,http://ott.mobaibox.com/PLTV/3/224/3221228165/index.m3u8
真4K,http://ott.mobaibox.com/PLTV/3/224/3221228141/index.m3u8
凤凰新闻,http://ott.mobaibox.com/PLTV/3/224/3221228524/index.m3u8
CCTV-01,http://ott.mobaibox.com/PLTV/3/224/3221227375/index.m3u8
卫视,#genre#
CCTV-01,http://ott.mobaibox.com/PLTV/3/224/3221227739/index.m3u8
CCTV-01,http://ott.mobaibox.com/PLTV/3/224/3221226316/index.m3u8
CCTV-01,http://ott.mobaibox.com/PLTV/3/224/3221225530/index.m3u8
CCTV-01,http://ott.mobaibox.com/PLTV/3/224/3221227494/index.m3u8
CCTV-01,http://ott.mobaibox.com/PLTV/3/224/3221228146/index.m3u8
CCTV-01,http://ott.mobaibox.com/PLTV/3/224/3221227644/index.m3u8
CCTV-01,http://ott.mobaibox.com/PLTV/3/224/3221227675/index.m3u8
CCTV-01,http://ott.mobaibox.com/PLTV/3/224/3221228049/index.m3u8
CCTV-01,http://ott.mobaibox.com/PLTV/3/224/3221227462/index.m3u8
世界,#genre#
CCTV-15,http://ott.mobaibox.com/PLTV/3/224/3221227634/index.m3u8
CCTV-52,http://ott.mobaibox.com/PLTV/3/224/3221227431/index.m3u8
CCTV-61,http://ott.mobaibox.com/PLTV/3/224/3221228213/index.m3u8
Unknown_30,http://ott.mobaibox.com/PLTV/3/224/3221227725/index.m3u8
Unknown_31,http://ott.mobaibox.com/PLTV/3/224/3221228149/index.m3u8
Unknown_32,http://ott.mobaibox.com/PLTV/3/224/3221227467/index.m3u8
